open_time,close_time,open,high,low,close,volume,quote_asset_volume,number_of_trades,price,ticker
1713062700000,1713063599999,63158.6,63350.85,63016.23,63084.18,758.82802,47919138.35377070,26147,63158.6,BTCUSDT
1713063600000,1713064499999,63084.18,63150.0,62134.0,62183.58,1540.12016,96291961.69102290,58585,63084.18,BTCUSDT
1713064500000,1713065399999,62183.57,62832.24,62161.68,62735.62,1007.21877,63040294.33693680,39741,62183.57,BTCUSDT
1713065400000,1713066299999,62735.61,63462.14,62700.0,63397.0,977.61815,61738807.83324840,45011,62735.61,BTCUSDT
1713066300000,1713067199999,63396.99,63576.36,63060.6,63437.55,762.19771,48236595.73804850,32317,63396.99,BTCUSDT
1713067200000,1713068099999,63437.55,63754.9,63394.0,63691.28,623.66882,39665438.94112700,41505,63437.55,BTCUSDT
1713068100000,1713068999999,63691.29,64176.46,63671.64,64148.3,1136.40703,72677227.97587110,38643,63691.29,BTCUSDT
1713069000000,1713069899999,64148.3,64148.3,63820.89,63941.63,612.28626,39155568.61904250,22785,64148.3,BTCUSDT
1713069900000,1713070799999,63941.64,64107.94,63861.43,63956.99,477.88156,30573650.96167160,18651,63941.64,BTCUSDT
1713070800000,1713071699999,63957.0,64412.37,63921.0,64388.7,684.20115,43923198.19505560,24840,63957.0,BTCUSDT
1713071700000,1713072599999,64388.7,64415.26,64037.0,64268.1,514.40934,33014840.71846680,20398,64388.7,BTCUSDT
1713072600000,1713073499999,64268.09,64466.0,64151.52,64405.5,601.76274,38723242.10608250,22580,64268.09,BTCUSDT
1713073500000,1713074399999,64405.49,64460.09,64262.95,64383.99,509.60841,32799318.88986500,19864,64405.49,BTCUSDT
1713074400000,1713075299999,64384.0,64436.49,64107.09,64217.63,540.00139,34682068.17606140,24943,64384.0,BTCUSDT
1713075300000,1713076199999,64217.62,64668.14,64127.46,64656.1,531.47194,34215107.19116140,32308,64217.62,BTCUSDT
1713076200000,1713077099999,64656.1,64872.96,64505.16,64833.92,791.10879,51192547.65746470,29387,64656.1,BTCUSDT
1713077100000,1713077999999,64833.92,64856.99,64566.14,64649.96,593.43665,38405037.57127580,21090,64833.92,BTCUSDT
1713078000000,1713078899999,64649.97,64837.07,64541.57,64648.97,526.39582,34060184.84907970,25146,64649.97,BTCUSDT
1713078900000,1713079799999,64648.97,64806.02,64511.0,64580.01,405.55748,26235130.75266290,16216,64648.97,BTCUSDT
1713079800000,1713080699999,64580.0,64738.48,64555.02,64578.08,342.70057,22154997.74460310,15441,64580.0,BTCUSDT
1713080700000,1713081599999,64578.07,64597.0,64243.65,64464.3,776.47446,50026013.52755170,24976,64578.07,BTCUSDT
1713081600000,1713082499999,64464.3,64625.8,64372.04,64601.16,343.51206,22156767.77984010,15504,64464.3,BTCUSDT
1713082500000,1713083399999,64601.15,64850.0,64518.68,64847.32,565.69422,36575886.25126780,21920,64601.15,BTCUSDT
1713083400000,1713084299999,64847.33,64887.99,64600.0,64650.0,481.02438,31142864.71508820,19031,64847.33,BTCUSDT
1713084300000,1713085199999,64649.99,64650.0,64417.0,64530.67,446.2525,28791062.04700390,19654,64649.99,BTCUSDT
1713085200000,1713086099999,64530.67,64721.65,64350.52,64408.02,574.36619,37068709.71636420,23758,64530.67,BTCUSDT
1713086100000,1713086999999,64408.01,64460.5,64195.88,64340.76,427.0253,27474364.34110450,18549,64408.01,BTCUSDT
1713087000000,1713087899999,64340.76,64454.55,63908.31,64088.03,697.22297,44730857.63636240,32011,64340.76,BTCUSDT
1713087900000,1713088799999,64088.04,64220.44,63954.83,64134.19,481.14289,30841610.95984020,23242,64088.04,BTCUSDT
1713088800000,1713089699999,64134.18,64345.94,64134.18,64303.04,462.16691,29696180.96202430,22664,64134.18,BTCUSDT
